clp,v8s,jpp,document,type
834,248,1612,npm,big
882,250,1353,npm,big
873,190,1570,npm,big
861,257,1774,npm,big
841,218,1466,npm,big
878,219,1372,npm,big
844,198,1397,npm,big
879,197,1406,npm,big
881,219,1317,npm,big
839,195,1397,npm,big
1583,143,672,creationix,small
1584,143,674,creationix,small
1590,142,671,creationix,small
1613,142,668,creationix,small
1571,142,667,creationix,small
1571,143,667,creationix,small
1578,148,723,creationix,small
1645,146,699,creationix,small
1694,143,676,creationix,small
1578,160,681,creationix,small
1113,207,2402,twitter,big
1092,196,1977,twitter,big
1200,177,2004,twitter,big
1084,232,1988,twitter,big
1266,206,1981,twitter,big
1178,202,1822,twitter,big
1181,202,1817,twitter,big
1181,162,1955,twitter,big
1086,176,2156,twitter,big
1213,185,1930,twitter,big
4656,390,2701,wikipedia,small
4648,385,2552,wikipedia,small
4485,386,2474,wikipedia,small
4464,383,2561,wikipedia,small
4468,392,2557,wikipedia,small
4538,390,2581,wikipedia,small
4648,388,2470,wikipedia,small
4466,384,2470,wikipedia,small
4456,386,2482,wikipedia,small
4465,385,2469,wikipedia,small